snapshot_date,country,iso3,us_integration_depth,china_exposure_depth,net_alignment_score,source
2025-11-19,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-11-19,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-11-19,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-11-19,Iran,IRN,0.0,50.0,25.0,backfilled
2025-11-19,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-11-19,Israel,ISR,80.0,10.0,85.0,backfilled
2025-11-19,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-11-19,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-11-19,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-11-19,Oman,OMN,20.0,60.0,30.0,backfilled
2025-11-19,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-11-19,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-11-19,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2025-11-19,Syria,SYR,0.0,50.0,25.0,backfilled
2025-11-19,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-11-19,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2025-11-19,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-12-17,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-12-17,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-12-17,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-12-17,Iran,IRN,0.0,50.0,25.0,backfilled
2025-12-17,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-12-17,Israel,ISR,53.3863040138545,10.0,71.69315200692725,backfilled
2025-12-17,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-12-17,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-12-17,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-12-17,Oman,OMN,20.0,60.0,30.0,backfilled
2025-12-17,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-12-17,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-12-17,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2025-12-17,Syria,SYR,0.0,50.0,25.0,backfilled
2025-12-17,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-12-17,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2025-12-17,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-12-18,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-12-18,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-12-18,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-12-18,Iran,IRN,0.0,50.0,25.0,backfilled
2025-12-18,Iraq,IRQ,0.0,50.0,25.0,backfilled
